numberOfGuests,roomType,maxNights,minNights,city,state,latitude,longitude,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Private room,1125,30,Nairobi,NAIROBI,-1.31014,36.89261,22.0,1.0,2.0,0,1,0,0,0,0.0,1,1,0,0,1.0,private
2,Entire unit,365,2,Nairobi,NAIROBI,-1.25808,36.75292,19.0,1.0,1.0,1,0,0,0,1,2.0,1,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.217,36.887,19.0,1.0,2.0,1,0,0,0,0,35.0,0,1,0,0,1.0,unknown
2,Other,1125,1,Nairobi,NAIROBI,-1.30657,36.79959,22.0,1.0,1.0,1,0,0,1,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,NAIROBI,-1.30829,36.89247,18.0,1.0,1.0,1,1,1,1,1,0.0,1,0,0,0,1.0,unknown
2,Entire unit,1125,1,North,NAIROBI,-1.23814,36.86135,20.0,1.0,1.0,1,0,1,0,0,29.0,1,1,0,0,1.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.36375,36.94544,22.0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,1.0,private
2,Other,1125,2,Kiambu,Central,-1.15685,36.81212,22.0,1.0,1.0,1,0,1,1,1,2.0,1,1,1,0,1.0,unknown
4,Private room,30,7,Nairobi,NAIROBI,-1.21116,36.88697,22.0,4.0,4.0,1,0,0,1,1,0.0,1,3,0,0,3.0,unknown
2,Private room,1125,1,Nairobi,NAIROBI,-1.27968,36.73924,22.0,2.0,1.0,0,0,1,0,0,0.0,0,2,0,0,1.0,private
2,Other,1125,1,Nairobi,NAIROBI,-1.30755,36.80127,22.0,1.0,1.0,1,0,0,1,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,1,Nairobi,NAIROBI,-1.3153700000000002,36.84334,22.0,1.0,1.0,1,1,1,1,1,2.0,1,0,0,0,1.0,unknown
2,Other,1125,1,Nairobi,NAIROBI,-1.30569,36.80232,22.0,1.0,1.0,1,0,0,1,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,365,1,Nairobi,Kiambu,-1.20852,36.83455,22.0,1.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Other,1125,1,Nairobi,NAIROBI,-1.30736,36.80224,22.0,1.0,1.0,1,0,0,1,0,0.0,0,0,0,0,1.0,unknown
