numberOfGuests,roomType,maxNights,city,state,price,numberOfBedsAvailable,numberOfBedrooms,allowsChildren,allowsEvents,allowsPets,allowsSmoking,allowsInfants,review_count,amenities,regular_bed,relaxing_bed,kids_bed,numberofbathroom,bathroomType
2,Entire unit,365,Mtwapa,kilifi,20.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,17.0,1.0,2.0,1,0,0,1,1,34.0,1,1,0,0,1.0,unknown
2,Private room,1125,Nairobi,NAIROBI,22.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,shared
8,Entire unit,1125,Mombasa,Mombasa,350.0,7.0,4.0,1,0,0,1,1,0.0,1,0,0,0,3.0,unknown
4,Entire unit,1125,Mombasa,Mombasa,50.0,3.0,2.0,1,1,0,1,1,42.0,1,3,0,0,2.0,unknown
2,Entire unit,365,Syokimau,Machakos,33.0,0.0,1.0,1,0,0,0,1,0.0,1,0,0,0,1.0,unknown
4,Entire unit,60,Mtwapa,Mombasa,35.0,3.0,2.0,1,0,1,0,1,1.0,1,3,0,0,1.0,unknown
6,Entire unit,1125,Nairobi,NAIROBI,69.0,4.0,3.0,1,1,1,1,1,0.0,1,3,4,0,3.0,unknown
4,Entire unit,60,Nairobi,NAIROBI,68.0,2.0,2.0,1,0,0,0,1,4.0,1,2,0,0,2.0,unknown
2,Entire unit,365,Nairobi,Kiambu,22.0,1.0,2.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
5,Entire unit,1125,Ruiru,Kiambu,150.0,2.0,2.0,0,0,1,0,1,0.0,1,1,0,0,2.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,42.0,1.0,2.0,1,0,0,0,1,12.0,1,0,0,0,1.0,unknown
5,Entire unit,90,Ukunda,Kwale,50.0,4.0,3.0,1,0,1,0,1,12.0,1,3,0,0,1.0,unknown
6,Entire unit,1125,Malindi,kilifi,164.0,3.0,3.0,1,1,1,1,1,1.0,1,0,0,0,5.0,unknown
2,Entire unit,30,DIANI BEACH,coast,120.0,1.0,1.0,1,0,0,1,1,128.0,1,1,0,0,1.0,unknown
4,Entire unit,28,Watamu,kilifi,98.0,2.0,2.0,1,0,0,0,1,65.0,1,2,0,0,2.0,unknown
3,Entire unit,1125,Nairobi,NAIROBI,35.0,2.0,2.0,1,0,0,0,1,59.0,1,1,0,0,2.0,unknown
16,Entire unit,180,Mombasa,Mombasa,49.0,3.0,5.0,1,0,0,0,1,5.0,1,3,0,0,6.0,unknown
11,Entire unit,1000,Nairobi,NAIROBI,169.0,7.0,5.0,1,1,1,1,1,34.0,1,7,0,0,4.0,unknown
2,Private room,8,DIANI BEACH,Kwale,30.0,2.0,1.0,1,1,0,1,0,6.0,1,1,0,0,1.0,unknown
3,Entire unit,1125,Nairobi,NAIROBI,42.0,2.0,1.0,1,0,0,0,1,49.0,1,1,1,0,1.0,unknown
5,Entire unit,1125,Nairobi,Kajiado,84.0,3.0,3.0,1,0,0,0,1,40.0,1,1,0,0,1.0,unknown
10,Entire unit,1125,Runyenjes,Embu County,42.0,6.0,5.0,1,1,1,1,1,2.0,1,6,1,0,2.0,unknown
8,Private room,1,Rumuruti,Laikipia,50.0,8.0,4.0,1,1,1,1,1,5.0,1,8,0,0,4.0,shared
2,Entire unit,352,Nairobi,NAIROBI,42.0,2.0,1.0,0,1,0,0,1,49.0,1,2,0,0,1.0,unknown
2,Entire unit,1125,Mombasa,NAIROBI,45.0,1.0,1.0,1,0,0,1,1,1.0,1,1,0,0,1.0,unknown
2,Entire unit,1125,Kilifi,kilifi,18.0,1.0,1.0,0,0,0,0,0,2.0,0,0,0,0,1.0,unknown
8,Entire unit,1125,Nairobi,NAIROBI,37.0,5.0,5.0,1,0,1,1,1,11.0,1,5,0,0,5.0,unknown
2,Entire unit,1125,Nairobi,NAIROBI,26.0,1.0,1.0,1,0,0,0,1,20.0,1,1,0,0,1.0,unknown
2,Private room,3,Githurai,NAIROBI,25.0,1.0,1.0,1,1,0,0,1,1.0,1,1,0,0,1.0,shared
2,Entire unit,1125,Watamu,kilifi,40.0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,1.0,unknown
4,Entire unit,1125,Kendu Bay,Homa Bay,30.0,3.0,3.0,0,0,0,0,0,0.0,0,3,0,0,2.0,unknown
2,Entire unit,365,Nairobi,Kiambu,35.0,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,1.0,unknown
6,Entire unit,1125,Mombasa,Mombasa,135.0,5.0,3.0,1,1,1,1,0,2.0,1,3,0,0,3.0,unknown
2,Entire unit,1125,DIANI BEACH,NAIROBI,26.0,1.0,1.0,0,0,0,1,0,29.0,0,1,0,0,1.0,unknown
2,Entire unit,365,Nairobi,NAIROBI,35.0,1.0,1.0,1,0,0,1,1,36.0,1,1,0,0,1.0,unknown
4,Entire unit,30,DIANI BEACH,Kwale,337.0,3.0,2.0,1,0,0,1,1,40.0,1,1,2,0,2.0,unknown
3,Entire unit,1125,Mayungu,kenya,164.0,1.0,1.0,1,0,0,1,1,0.0,1,1,0,0,1.0,unknown
